ターバン_|_N-nc 11
禁止_|_N-nc 11
ピーブズ_|_N-pn 11
婦人_|_N-nc 11
校庭_|_N-nc 11
ヤツ_|_N-nc 11
メートル_|_N-nc 11
審判_|_N-nc 11
ねぇ_|_P-sj 11
横丁_|_N-nc 10
持つ_|_V-c 10
ダーズリー_|_N-nc 10
ま_|_N-nc 10
すっかり_|_F 10
出会っ_|_V-c 10
スピード_|_N-nc 10
変わっ_|_V-c 10
正面_|_N-nc 10
歳_|_Q-n 10
昨日_|_N-nc 10
寝室_|_N-nc 10
頭上_|_N-nc 10
ローブ_|_N-nc 10
こちら_|_D 10
クスクス_|_N-nc 10
個_|_Q-n 10
次々_|_F 10
ずいぶん_|_F 10
我々_|_D 10
恐れ_|_V-c 10
鋭い_|_A-c 10
子供_|_N-nc 10
回っ_|_V-dp 10
や_|_P-sj 10
準備_|_N-nc 10
あれ_|_V-dp 10
破っ_|_V-c 10
見上げ_|_V-c 10
抱え_|_V-c 10
もらえ_|_V-dp 10
覚まし_|_V-c 10
ねえ_|_P-sj 10
置か_|_V-dp 10
だらけ_|_Q-j 10
小僧_|_N-nc 10
緑色_|_N-nc 10
規則_|_N-nc 10
全_|_P 10
ミスター_|_N-nc 10
「_|_M-c 10
小さい_|_A-c 10
だし_|_V-dp 10
ゆっくり_|_F 10
すばやく_|_A-c 10
だんだん_|_F 10
だろ_|_X 10
時々_|_N-nc 10
頃_|_N-nc 10
意味_|_N-nc 10
朝食_|_N-nc 10
唇_|_N-nc 10
新聞_|_N-nc 10
かわし_|_V-c 10
白_|_N-nc 10
隅_|_N-nc 10
空気_|_N-nc 10
入れる_|_V-c 10
叩き_|_V-c 10
とにかく_|_F 10
うまく_|_A-c 10
明日_|_N-nc 10
強く_|_A-c 10
輝い_|_V-c 10
差し出し_|_V-c 10
ソーセージ_|_N-nc 10
飲ん_|_V-c 10
親子_|_N-nc 10
こいつ_|_D 10
教科_|_N-nc 10
私_|_N-nc 10
立ち上がり_|_V-c 10
うなり声_|_N-nc 10
話す_|_V-c 10
両手_|_N-nc 10
深い_|_A-c 10
ニン_|_N-nc 10
右_|_N-nc 10
うん_|_I-c 10
敵_|_N-nc 10
おもしろい_|_A-c 10
飛び回っ_|_V-c 10
兄弟_|_N-nc 10
あぁ_|_I-c 10
感じ_|_N-nc 10
ズーッ_|_F 10
離し_|_V-c 10
足音_|_N-nc 10
でし_|_X 10
諸君_|_N-nc 10
はっきり_|_F 10
しがみつい_|_V-c 10
お前_|_D 10
ゴール_|_N-nc 10
線_|_N-nc 9
灰色_|_N-nc 9
始め_|_V-dp 9
見よう_|_V-dp 9
立ち止まっ_|_V-c 9
相手_|_N-nc 9
呼ば_|_V-c 9
走り_|_V-c 9
思い_|_N-nc 9
動か_|_V-c 9
まとも_|_J-c 9
